               epoch,      train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss
94,0.032493,0.060132,0,0.87576,0.75827,0.83105,0.52706,0.032081,0.062659,0
95,0.032457,0.059587,0,0.87562,0.75878,0.83128,0.52725,0.032078,0.06266,0
96,0.032573,0.059932,0,0.87495,0.75943,0.83141,0.52736,0.032074,0.062671,0
97,0.032514,0.060096,0,0.87446,0.75976,0.83124,0.52746,0.03207,0.062673,0
98,0.032496,0.060162,0,0.8748,0.75983,0.83146,0.52758,0.032068,0.062677,0
99,0.032183,0.059432,0,0.87497,0.76007,0.83133,0.52749,0.032065,0.062699,0
100,0.032406,0.059874,0,0.874,0.76043,0.83134,0.52749,0.032065,0.062702,0
101,0.032273,0.059318,0,0.87495,0.76031,0.83148,0.52752,0.032058,0.062698,0
102,0.032232,0.05958,0,0.87538,0.76025,0.83155,0.5276,0.032054,0.062703,0
103,0.03206,0.05972,0,0.8752,0.76043,0.83145,0.5277,0.032054,0.062716,0
104,0.032193,0.059532,0,0.87475,0.76031,0.83155,0.52775,0.032052,0.062722,0
105,0.03205,0.059397,0,0.87488,0.76034,0.83169,0.52779,0.032049,0.062729,0
106,0.032214,0.059246,0,0.87435,0.76085,0.83186,0.52796,0.032047,0.062735,0
107,0.03196,0.059497,0,0.87497,0.76046,0.83178,0.52804,0.032049,0.062745,0
108,0.031824,0.058688,0,0.87528,0.76049,0.83187,0.52808,0.032049,0.062754,0
109,0.031854,0.059053,0,0.87452,0.76091,0.8319,0.52804,0.032046,0.062765,0
110,0.031983,0.058713,0,0.87456,0.76111,0.83192,0.52808,0.032046,0.062762,0
111,0.031888,0.058397,0,0.87467,0.76121,0.83178,0.52822,0.03204,0.062761,0
112,0.031896,0.058694,0,0.87451,0.76127,0.83177,0.52835,0.032038,0.062771,0
113,0.031854,0.058782,0,0.87417,0.76116,0.83172,0.52839,0.032034,0.062786,0
114,0.031749,0.058517,0,0.87459,0.76114,0.83196,0.52847,0.032033,0.062795,0
115,0.031786,0.058594,0,0.87495,0.76086,0.83194,0.5286,0.032032,0.062805,0
116,0.031695,0.058637,0,0.87417,0.76082,0.83191,0.52864,0.032036,0.062819,0
117,0.03169,0.058185,0,0.87434,0.76061,0.83183,0.52862,0.032039,0.062838,0
118,0.031558,0.058297,0,0.87406,0.761,0.83185,0.52852,0.032041,0.062854,0
119,0.031564,0.05873,0,0.87382,0.76105,0.83183,0.52859,0.032042,0.06286,0
120,0.031553,0.057932,0,0.8733,0.76106,0.83183,0.52846,0.032043,0.062873,0
121,0.031492,0.05805,0,0.87299,0.76145,0.83191,0.52858,0.032043,0.06288,0
122,0.031609,0.058013,0,0.87328,0.76172,0.83217,0.52871,0.032043,0.062893,0
123,0.031477,0.057861,0,0.87346,0.76149,0.83232,0.52868,0.032045,0.062908,0
124,0.031405,0.057976,0,0.8738,0.76139,0.83229,0.52879,0.032048,0.062922,0
125,0.031289,0.057772,0,0.87337,0.76124,0.83191,0.52863,0.032049,0.062935,0
126,0.031342,0.057666,0,0.87304,0.76131,0.83194,0.52867,0.032051,0.062947,0
127,0.031309,0.057744,0,0.87317,0.76096,0.83202,0.52881,0.032052,0.062969,0
128,0.031151,0.057601,0,0.87379,0.76063,0.83217,0.52894,0.032056,0.062982,0
129,0.031101,0.057222,0,0.87423,0.76085,0.83209,0.52899,0.032056,0.062999,0
130,0.03111,0.057301,0,0.87384,0.76106,0.83206,0.52897,0.032057,0.063007,0
131,0.031138,0.057059,0,0.87299,0.76154,0.832,0.52889,0.032058,0.063029,0
132,0.031107,0.057644,0,0.87377,0.76132,0.83201,0.52914,0.032061,0.063044,0
133,0.031151,0.056751,0,0.8739,0.76053,0.83185,0.52909,0.032064,0.063065,0
134,0.031066,0.057282,0,0.87398,0.76026,0.83176,0.5291,0.032067,0.063084,0
135,0.030852,0.057141,0,0.8751,0.75941,0.83157,0.52905,0.032065,0.063096,0
136,0.030844,0.056587,0,0.8754,0.75934,0.83145,0.52906,0.032067,0.063113,0
137,0.030946,0.056957,0,0.87487,0.7594,0.83139,0.5292,0.032069,0.063134,0
138,0.030771,0.056715,0,0.87576,0.75877,0.83124,0.52903,0.032074,0.06316,0
139,0.030787,0.056342,0,0.87575,0.75895,0.83105,0.52913,0.032076,0.063181,0
140,0.030809,0.056828,0,0.87468,0.75966,0.83126,0.5292,0.032082,0.063199,0
141,0.030826,0.056988,0,0.87479,0.75946,0.83145,0.52919,0.032084,0.063229,0
142,0.030719,0.056411,0,0.8739,0.76007,0.8315,0.52909,0.032088,0.063242,0
143,0.030632,0.056295,0,0.87502,0.75927,0.83142,0.5292,0.032096,0.063271,0
144,0.030595,0.056225,0,0.87544,0.75921,0.83146,0.52918,0.032098,0.063291,0
145,0.030564,0.056128,0,0.87685,0.75802,0.83131,0.52909,0.032104,0.063315,0
146,0.030564,0.056415,0,0.87804,0.75733,0.83109,0.52902,0.032106,0.06334,0
147,0.03063,0.055935,0,0.87759,0.75803,0.83123,0.52902,0.03211,0.063364,0
148,0.030433,0.055906,0,0.87676,0.75841,0.83106,0.52888,0.032119,0.063405,0
149,0.030374,0.055452,0,0.87597,0.75845,0.83095,0.52883,0.032125,0.063435,0
150,0.030227,0.055376,0,0.87584,0.75842,0.83088,0.52877,0.032129,0.063453,0
151,0.030415,0.055833,0,0.87581,0.75821,0.83078,0.52869,0.032133,0.063486,0
152,0.030248,0.055763,0,0.87613,0.75788,0.83078,0.52876,0.032138,0.063502,0
153,0.030274,0.055227,0,0.87543,0.75826,0.83072,0.52874,0.032142,0.063535,0
154,0.030166,0.055281,0,0.87417,0.75907,0.83039,0.52882,0.032146,0.063568,0
155,0.030127,0.054876,0,0.87394,0.75877,0.83031,0.5289,0.032147,0.063582,0
156,0.030282,0.055323,0,0.87393,0.75913,0.83028,0.52884,0.032154,0.063619,0
157,0.030046,0.055415,0,0.87251,0.75975,0.8301,0.52881,0.032165,0.063659,0
158,0.029884,0.054629,0,0.87266,0.75953,0.82997,0.52881,0.032168,0.063687,0
159,0.030046,0.055275,0,0.87292,0.75907,0.82992,0.52877,0.032171,0.063718,0
160,0.029886,0.054847,0,0.87167,0.76019,0.83003,0.52882,0.032175,0.06374,0
161,0.029887,0.054975,0,0.872,0.76016,0.83006,0.52902,0.032179,0.063772,0
162,0.029839,0.054491,0,0.87168,0.76025,0.82992,0.52891,0.032187,0.063816,0
163,0.029812,0.054197,0,0.87166,0.76016,0.82989,0.52894,0.032192,0.063842,0
164,0.029821,0.054808,0,0.87201,0.7598,0.82973,0.52891,0.032197,0.063879,0
165,0.029702,0.054343,0,0.87168,0.76028,0.82982,0.52867,0.032203,0.063912,0
166,0.029631,0.054416,0,0.87189,0.75983,0.82984,0.52872,0.032207,0.063938,0
167,0.02957,0.054015,0,0.87094,0.76049,0.82968,0.52869,0.032214,0.063973,0
168,0.029507,0.053852,0,0.87116,0.75998,0.82963,0.52864,0.032223,0.064018,0
169,0.029513,0.054485,0,0.8711,0.75979,0.82958,0.52853,0.032229,0.064057,0
170,0.029403,0.054443,0,0.87062,0.76039,0.82971,0.52864,0.032237,0.064098,0
171,0.029329,0.053654,0,0.87037,0.76055,0.82968,0.52854,0.032245,0.064139,0
172,0.02943,0.053691,0,0.87071,0.76022,0.82956,0.52855,0.032253,0.064179,0
173,0.029268,0.053674,0,0.87094,0.7603,0.8295,0.52849,0.032262,0.064231,0
174,0.02931,0.053767,0,0.87126,0.76006,0.8296,0.52847,0.032271,0.064275,0
175,0.029187,0.053631,0,0.87159,0.75985,0.82962,0.52841,0.032281,0.064322,0
176,0.029183,0.053694,0,0.8709,0.76043,0.82979,0.52842,0.032289,0.064364,0
177,0.028979,0.052791,0,0.87054,0.76088,0.82969,0.52831,0.032296,0.06441,0
178,0.029068,0.053406,0,0.87185,0.75973,0.82978,0.52832,0.032305,0.064461,0
179,0.028882,0.052914,0,0.87211,0.75924,0.8297,0.5281,0.03231,0.064505,0
180,0.028809,0.052937,0,0.87254,0.75873,0.82953,0.52814,0.032318,0.064551,0
181,0.028769,0.052791,0,0.87194,0.75907,0.82951,0.52816,0.032325,0.064602,0
182,0.028858,0.053128,0,0.87211,0.75903,0.82937,0.52805,0.032333,0.064651,0
183,0.028728,0.052527,0,0.87187,0.75925,0.82935,0.5281,0.032344,0.064702,0
184,0.028718,0.052851,0,0.87161,0.75994,0.82938,0.528,0.032355,0.064761,0
185,0.028726,0.052618,0,0.87179,0.75955,0.82921,0.52778,0.032363,0.064814,0
186,0.028621,0.052201,0,0.87225,0.75943,0.82909,0.5276,0.032374,0.064869,0
187,0.028673,0.052617,0,0.87238,0.75919,0.82873,0.52747,0.032384,0.064924,0
188,0.028513,0.051868,0,0.87228,0.75907,0.82863,0.5273,0.032395,0.064982,0
189,0.028465,0.051777,0,0.87253,0.75853,0.82855,0.52727,0.032404,0.065036,0
190,0.02845,0.051596,0,0.87333,0.75792,0.82842,0.52726,0.032414,0.06509,0
191,0.028315,0.051712,0,0.87307,0.7585,0.82841,0.52716,0.032427,0.065149,0
192,0.028206,0.051413,0,0.87346,0.75817,0.82818,0.52703,0.032439,0.065209,0
193,0.028358,0.051778,0,0.87339,0.7581,0.82811,0.52696,0.032451,0.065262,0
194,0.028128,0.05158,0,0.87368,0.75765,0.82808,0.52702,0.03246,0.065326,0
195,0.028017,0.05124,0,0.87361,0.75774,0.82792,0.52674,0.032472,0.065384,0
196,0.027924,0.051064,0,0.87356,0.7578,0.82768,0.5266,0.032485,0.065456,0
197,0.028073,0.051541,0,0.87206,0.75871,0.82756,0.52652,0.032499,0.065524,0
198,0.028002,0.05146,0,0.87175,0.75871,0.8274,0.52637,0.032513,0.065589,0
199,0.02795,0.050906,0,0.87228,0.75798,0.82739,0.52632,0.032527,0.065648,0
